nb_episodes,epsilon_rate,epsilon_min,epsilon_max,learning_rate,reward_discount_rate,decay_rate,avg_rewards,avg_steps,duration
10000,1.0,0.01,1.0,0.5,0.9,0.01,5.76,22.4,7.016526222229004
10000,1.0,0.01,1.0,0.5,0.9,0.03,5.47,16.15,12.667381048202515
10000,1.0,0.01,1.0,0.5,0.9,0.05,6.54,16.64,18.305476665496826
10000,1.0,0.01,1.0,0.5,0.9,0.07,6.17,22.3,24.37621283531189
10000,1.0,0.01,1.0,0.5,0.9,0.1,6.47,15.9,29.806821584701538
10000,1.0,0.01,1.0,0.5,0.786,0.01,5.4,46.91,45.63572859764099
10000,1.0,0.01,1.0,0.5,0.786,0.03,4.93,59.41,59.37526273727417
10000,1.0,0.01,1.0,0.5,0.786,0.05,6.53,42.95,70.98104333877563
10000,1.0,0.01,1.0,0.5,0.786,0.07,7.95,57.37,83.6065731048584
10000,1.0,0.01,1.0,0.5,0.786,0.1,6.42,42.01,93.87324500083923
10000,1.0,0.01,1.0,0.5,0.618,0.01,7.34,69.7,114.36566472053528
10000,1.0,0.01,1.0,0.5,0.618,0.03,6.68,70.7,133.4906759262085
10000,1.0,0.01,1.0,0.5,0.618,0.05,6.72,63.4,151.27170062065125
10000,1.0,0.01,1.0,0.5,0.618,0.07,6.38,68.21,169.46469640731812
10000,1.0,0.01,1.0,0.5,0.618,0.1,7.81,69.42,188.0488133430481
10000,1.0,0.01,1.0,0.5,0.5,0.01,6.45,82.83,209.52252626419067
10000,1.0,0.01,1.0,0.5,0.5,0.03,7.68,89.92,232.066570520401
10000,1.0,0.01,1.0,0.5,0.5,0.05,9.2,89.57,254.52487683296204
10000,1.0,0.01,1.0,0.5,0.5,0.07,5.19,80.48,275.1728301048279
10000,1.0,0.01,1.0,0.5,0.5,0.1,6.71,75.67,296.8964207172394
10000,1.0,0.01,1.0,0.5,0.382,0.01,4.74,83.11,319.75680208206177
10000,1.0,0.01,1.0,0.5,0.382,0.03,4.16,69.3,341.0043978691101
10000,1.0,0.01,1.0,0.5,0.382,0.05,6.27,75.98,361.5018730163574
10000,1.0,0.01,1.0,0.5,0.382,0.07,7.69,71.93,381.98092794418335
10000,1.0,0.01,1.0,0.5,0.382,0.1,6.11,82.09,403.9304850101471
10000,1.0,0.01,1.0,0.5,0.2,0.01,11.84,96.14,427.79491353034973
10000,1.0,0.01,1.0,0.5,0.2,0.03,13.0,98.38,452.12219166755676
10000,1.0,0.01,1.0,0.5,0.2,0.05,6.4,92.15,475.5064857006073
10000,1.0,0.01,1.0,0.5,0.2,0.07,10.62,97.26,499.7568151950836
10000,1.0,0.01,1.0,0.5,0.2,0.1,5.71,86.26,522.307363986969
10000,1.0,0.01,1.0,0.5,0.1,0.01,9.29,92.17,546.7306880950928
10000,1.0,0.01,1.0,0.5,0.1,0.03,6.79,82.75,569.7543108463287
10000,1.0,0.01,1.0,0.5,0.1,0.05,11.9,97.62,594.1815116405487
10000,1.0,0.01,1.0,0.5,0.1,0.07,7.62,88.1,617.2313096523285
10000,1.0,0.01,1.0,0.5,0.1,0.1,9.46,97.81,641.2219824790955
10000,1.0,0.01,1.0,0.6,0.9,0.01,5.76,31.35,650.1570529937744
10000,1.0,0.01,1.0,0.6,0.9,0.03,5.51,26.29,657.2303140163422
10000,1.0,0.01,1.0,0.6,0.9,0.05,5.66,22.19,663.5409123897552
10000,1.0,0.01,1.0,0.6,0.9,0.07,6.22,20.48,669.4600839614868
10000,1.0,0.01,1.0,0.6,0.9,0.1,5.66,16.26,675.0872399806976
10000,1.0,0.01,1.0,0.6,0.786,0.01,7.01,62.14,692.4481449127197
10000,1.0,0.01,1.0,0.6,0.786,0.03,5.93,51.13,706.9546041488647
10000,1.0,0.01,1.0,0.6,0.786,0.05,4.98,49.42,720.3662211894989
10000,1.0,0.01,1.0,0.6,0.786,0.07,6.8,55.18,733.2802574634552
10000,1.0,0.01,1.0,0.6,0.786,0.1,6.0,38.64,744.7022137641907
10000,1.0,0.01,1.0,0.6,0.618,0.01,6.35,68.29,764.0035865306854
10000,1.0,0.01,1.0,0.6,0.618,0.03,7.33,79.53,785.0763828754425
10000,1.0,0.01,1.0,0.6,0.618,0.05,6.29,53.56,802.9410541057587
10000,1.0,0.01,1.0,0.6,0.618,0.07,5.88,67.18,821.3409271240234
10000,1.0,0.01,1.0,0.6,0.618,0.1,5.62,55.76,838.1319336891174
10000,1.0,0.01,1.0,0.6,0.5,0.01,6.46,72.53,858.2540683746338
10000,1.0,0.01,1.0,0.6,0.5,0.03,6.14,87.62,880.1726706027985
10000,1.0,0.01,1.0,0.6,0.5,0.05,6.11,68.33,900.3181865215302
10000,1.0,0.01,1.0,0.6,0.5,0.07,7.67,80.62,920.8434581756592
10000,1.0,0.01,1.0,0.6,0.5,0.1,7.95,86.94,943.2687072753906
10000,1.0,0.01,1.0,0.6,0.382,0.01,7.18,93.61,966.4301540851593
10000,1.0,0.01,1.0,0.6,0.382,0.03,11.21,93.33,990.2325823307037
10000,1.0,0.01,1.0,0.6,0.382,0.05,6.98,67.49,1010.1555070877075
10000,1.0,0.01,1.0,0.6,0.382,0.07,8.07,90.56,1032.7461020946503
10000,1.0,0.01,1.0,0.6,0.382,0.1,4.67,64.2,1052.391513824463
10000,1.0,0.01,1.0,0.6,0.2,0.01,3.75,80.44,1074.5472242832184
10000,1.0,0.01,1.0,0.6,0.2,0.03,7.74,92.25,1096.9423143863678
10000,1.0,0.01,1.0,0.6,0.2,0.05,0,99.0,1121.6480877399445
10000,1.0,0.01,1.0,0.6,0.2,0.07,5.0,89.24,1144.363621711731
10000,1.0,0.01,1.0,0.6,0.2,0.1,5.87,79.58,1166.4464435577393
10000,1.0,0.01,1.0,0.6,0.1,0.01,8.24,95.04,1189.7149789333344
10000,1.0,0.01,1.0,0.6,0.1,0.03,7.42,91.78,1213.2084748744965
10000,1.0,0.01,1.0,0.6,0.1,0.05,7.6,86.03,1235.6178970336914
10000,1.0,0.01,1.0,0.6,0.1,0.07,4.22,95.5,1258.699856519699
10000,1.0,0.01,1.0,0.6,0.1,0.1,6.97,79.98,1280.9486002922058
10000,1.0,0.01,1.0,0.7,0.9,0.01,5.76,40.18,1292.5096237659454
10000,1.0,0.01,1.0,0.7,0.9,0.03,5.64,35.43,1301.1430668830872
10000,1.0,0.01,1.0,0.7,0.9,0.05,5.3,38.02,1310.592561006546
10000,1.0,0.01,1.0,0.7,0.9,0.07,5.53,27.93,1318.0897047519684
