nb_episodes,epsilon_rate,epsilon_min,epsilon_max,learning_rate,reward_discount_rate,decay_rate,avg_rewards,avg_steps
10000,1.0,0.01,1.0,0.5,0.9,0.01,6.87,14.13
10000,1.0,0.01,1.0,0.5,0.9,0.03,7.01,13.99
10000,1.0,0.01,1.0,0.5,0.9,0.05,7.03,13.97
10000,1.0,0.01,1.0,0.5,0.9,0.07,7.02,13.98
10000,1.0,0.01,1.0,0.5,0.9,0.1,7.01,13.99
10000,1.0,0.01,1.0,0.5,0.786,0.01,7.01,13.99
10000,1.0,0.01,1.0,0.5,0.786,0.03,6.85,14.15
10000,1.0,0.01,1.0,0.5,0.786,0.05,6.85,14.15
10000,1.0,0.01,1.0,0.5,0.786,0.07,6.98,14.02
10000,1.0,0.01,1.0,0.5,0.786,0.1,6.86,14.14
10000,1.0,0.01,1.0,0.5,0.618,0.01,7.14,21.85
10000,1.0,0.01,1.0,0.5,0.618,0.03,7.14,22.09
10000,1.0,0.01,1.0,0.5,0.618,0.05,6.99,19.28
10000,1.0,0.01,1.0,0.5,0.618,0.07,6.96,19.15
10000,1.0,0.01,1.0,0.5,0.618,0.1,6.72,14.28
10000,1.0,0.01,1.0,0.5,0.5,0.01,7.2,32.79
10000,1.0,0.01,1.0,0.5,0.5,0.03,7.16,30.86
10000,1.0,0.01,1.0,0.5,0.5,0.05,7.12,30.11
10000,1.0,0.01,1.0,0.5,0.5,0.07,6.89,25.08
10000,1.0,0.01,1.0,0.5,0.5,0.1,6.81,23.27
10000,1.0,0.01,1.0,0.5,0.382,0.01,8.7,77.43
10000,1.0,0.01,1.0,0.5,0.382,0.03,8.64,74.58
10000,1.0,0.01,1.0,0.5,0.382,0.05,8.36,70.02
10000,1.0,0.01,1.0,0.5,0.382,0.07,8.4,68.61
10000,1.0,0.01,1.0,0.5,0.382,0.1,8.43,68.06
10000,1.0,0.01,1.0,0.5,0.2,0.01,9.59,88.52
10000,1.0,0.01,1.0,0.5,0.2,0.03,7.53,85.62
10000,1.0,0.01,1.0,0.5,0.2,0.05,7.36,82.36
10000,1.0,0.01,1.0,0.5,0.2,0.07,7.44,81.43
10000,1.0,0.01,1.0,0.5,0.2,0.1,7.14,81.44
10000,1.0,0.01,1.0,0.5,0.1,0.01,12.18,94.61
10000,1.0,0.01,1.0,0.5,0.1,0.03,12.2,95.13
10000,1.0,0.01,1.0,0.5,0.1,0.05,12.14,94.37
10000,1.0,0.01,1.0,0.5,0.1,0.07,12.03,94.26
10000,1.0,0.01,1.0,0.5,0.1,0.1,9.48,86.46
10000,1.0,0.01,1.0,0.6,0.9,0.01,6.69,14.31
10000,1.0,0.01,1.0,0.6,0.9,0.03,6.99,14.01
10000,1.0,0.01,1.0,0.6,0.9,0.05,7.0,14.0
10000,1.0,0.01,1.0,0.6,0.9,0.07,7.0,14.0
10000,1.0,0.01,1.0,0.6,0.9,0.1,7.03,13.97
10000,1.0,0.01,1.0,0.6,0.786,0.01,6.82,14.18
10000,1.0,0.01,1.0,0.6,0.786,0.03,7.03,13.97
10000,1.0,0.01,1.0,0.6,0.786,0.05,7.02,13.98
10000,1.0,0.01,1.0,0.6,0.786,0.07,6.8,14.2
10000,1.0,0.01,1.0,0.6,0.786,0.1,7.04,13.96
10000,1.0,0.01,1.0,0.6,0.618,0.01,7.3,25.48
10000,1.0,0.01,1.0,0.6,0.618,0.03,7.16,19.83
10000,1.0,0.01,1.0,0.6,0.618,0.05,7.13,19.1
10000,1.0,0.01,1.0,0.6,0.618,0.07,6.95,20.96
10000,1.0,0.01,1.0,0.6,0.618,0.1,7.12,19.77
10000,1.0,0.01,1.0,0.6,0.5,0.01,7.45,49.33
10000,1.0,0.01,1.0,0.6,0.5,0.03,7.06,36.3
10000,1.0,0.01,1.0,0.6,0.5,0.05,7.01,35.64
10000,1.0,0.01,1.0,0.6,0.5,0.07,6.63,30.47
10000,1.0,0.01,1.0,0.6,0.5,0.1,6.77,30.86
10000,1.0,0.01,1.0,0.6,0.382,0.01,8.77,69.54
10000,1.0,0.01,1.0,0.6,0.382,0.03,8.25,60.68
10000,1.0,0.01,1.0,0.6,0.382,0.05,8.26,60.2
10000,1.0,0.01,1.0,0.6,0.382,0.07,8.23,60.54
10000,1.0,0.01,1.0,0.6,0.382,0.1,8.04,58.64
10000,1.0,0.01,1.0,0.6,0.2,0.01,8.89,81.52
10000,1.0,0.01,1.0,0.6,0.2,0.03,8.39,75.66
10000,1.0,0.01,1.0,0.6,0.2,0.05,7.37,69.32
10000,1.0,0.01,1.0,0.6,0.2,0.07,7.27,64.31
10000,1.0,0.01,1.0,0.6,0.2,0.1,7.17,64.79
10000,1.0,0.01,1.0,0.6,0.1,0.01,11.99,96.33
10000,1.0,0.01,1.0,0.6,0.1,0.03,10.45,93.74
10000,1.0,0.01,1.0,0.6,0.1,0.05,10.01,92.81
10000,1.0,0.01,1.0,0.6,0.1,0.07,8.78,91.27
10000,1.0,0.01,1.0,0.6,0.1,0.1,8.53,90.88
10000,1.0,0.01,1.0,0.7,0.9,0.01,6.78,14.22
10000,1.0,0.01,1.0,0.7,0.9,0.03,6.98,14.02
10000,1.0,0.01,1.0,0.7,0.9,0.05,6.78,14.22
10000,1.0,0.01,1.0,0.7,0.9,0.07,7.0,14.0
10000,1.0,0.01,1.0,0.7,0.9,0.1,6.99,14.01
10000,1.0,0.01,1.0,0.7,0.786,0.01,6.86,14.14
10000,1.0,0.01,1.0,0.7,0.786,0.03,6.82,14.18
10000,1.0,0.01,1.0,0.7,0.786,0.05,6.79,14.21
10000,1.0,0.01,1.0,0.7,0.786,0.07,6.78,14.22
10000,1.0,0.01,1.0,0.7,0.786,0.1,7.03,13.97
10000,1.0,0.01,1.0,0.7,0.618,0.01,7.2,21.66
10000,1.0,0.01,1.0,0.7,0.618,0.03,6.88,19.04
10000,1.0,0.01,1.0,0.7,0.618,0.05,6.92,16.51
10000,1.0,0.01,1.0,0.7,0.618,0.07,7.11,17.62
10000,1.0,0.01,1.0,0.7,0.618,0.1,6.8,17.33
10000,1.0,0.01,1.0,0.7,0.5,0.01,7.9,49.73
10000,1.0,0.01,1.0,0.7,0.5,0.03,7.25,42.91
10000,1.0,0.01,1.0,0.7,0.5,0.05,7.11,36.14
10000,1.0,0.01,1.0,0.7,0.5,0.07,7.26,37.41
10000,1.0,0.01,1.0,0.7,0.5,0.1,7.39,36.53
10000,1.0,0.01,1.0,0.7,0.382,0.01,7.9,62.98
10000,1.0,0.01,1.0,0.7,0.382,0.03,8.08,62.68
10000,1.0,0.01,1.0,0.7,0.382,0.05,8.26,61.32
10000,1.0,0.01,1.0,0.7,0.382,0.07,8.29,62.12
10000,1.0,0.01,1.0,0.7,0.382,0.1,8.19,59.69
10000,1.0,0.01,1.0,0.7,0.2,0.01,9.79,86.48
10000,1.0,0.01,1.0,0.7,0.2,0.03,9.04,82.0
10000,1.0,0.01,1.0,0.7,0.2,0.05,9.11,81.84
10000,1.0,0.01,1.0,0.7,0.2,0.07,9.01,81.24
10000,1.0,0.01,1.0,0.7,0.2,0.1,9.1,81.94
10000,1.0,0.01,1.0,0.7,0.1,0.01,9.39,91.75
10000,1.0,0.01,1.0,0.7,0.1,0.03,9.21,85.86
10000,1.0,0.01,1.0,0.7,0.1,0.05,9.02,80.55
10000,1.0,0.01,1.0,0.7,0.1,0.07,8.94,79.07
10000,1.0,0.01,1.0,0.7,0.1,0.1,8.91,79.47
10000,1.0,0.01,1.0,0.8,0.9,0.01,6.86,14.14
10000,1.0,0.01,1.0,0.8,0.9,0.03,7.02,13.98
10000,1.0,0.01,1.0,0.8,0.9,0.05,6.7,14.3
10000,1.0,0.01,1.0,0.8,0.9,0.07,6.99,14.01
10000,1.0,0.01,1.0,0.8,0.9,0.1,6.97,14.03
10000,1.0,0.01,1.0,0.8,0.786,0.01,6.94,14.06
10000,1.0,0.01,1.0,0.8,0.786,0.03,6.88,14.12
10000,1.0,0.01,1.0,0.8,0.786,0.05,6.86,14.14
10000,1.0,0.01,1.0,0.8,0.786,0.07,7.02,13.98
10000,1.0,0.01,1.0,0.8,0.786,0.1,6.97,14.03
10000,1.0,0.01,1.0,0.8,0.618,0.01,6.96,16.09
10000,1.0,0.01,1.0,0.8,0.618,0.03,6.87,14.13
